Iteration,Particle1,Particle2,Particle3,Particle4,Particle5,Particle6,Particle7,Particle8,MeanFitness
1,288.664,5374.24,6794.62,40.842,1186.12,1759.17,20977.2,34.3157,4556.9
2,10123.1,15.2876,2474.98,1030.16,1.29484,244.045,65.5675,1331.31,1910.72
3,49046.2,537.96,24134,2467.41,21.1547,6397.73,40016,6342.32,16120.3
4,61860.2,208.647,18412,14909.8,25.2277,2077.95,10.5161,3469.18,12621.7
5,630.927,514.236,44042.8,16899.6,26.6012,1640.82,2355.13,209.132,8289.91
6,363.392,44.6055,60421.4,1527.22,63.2908,9005.79,76.2692,200.165,8962.77
7,2489.16,9193.01,40415.2,1653.8,7.32019,41462.2,1693.07,26146.2,15382.5
8,2788.61,286.036,279.625,610.862,26.3353,1406.34,1891.42,36080.5,5421.22
9,61.513,30315.9,43115.3,4929.98,28.1582,1747.09,2188.61,297.116,10335.5
10,2489.49,2706.3,15882.7,1389.81,14.9906,1124.22,930.801,42843.8,8422.76
11,10116.4,172.506,1461.9,1908.41,15.7029,2099.46,2357.89,1251.94,2423.02
12,565.884,45695,734.279,2007.78,26.3373,2086.5,2050.15,23554.1,9590
13,2297.9,0.196311,227.543,1687.44,82.7007,152.885,1601,274.316,790.498
14,1796.81,5.11185,3161.58,928.692,75.8097,2281.45,147.853,2735.12,1391.55
15,5853.26,152.216,29.3872,31.1308,68.2151,630.001,685.555,1420.11,1108.73
16,6841.59,6242.96,1199.09,2399.12,244.372,107.048,339.839,750.087,2265.51
17,86.7412,961.056,1.35271,668.322,47.4346,5415.74,1944.98,4.70503,1141.29
18,483.163,73.7831,662.288,121.882,13.3604,171.399,397.057,10.0518,241.623
19,1642.16,5609.89,2.20853,2399.28,223.824,167.971,8.67037,2336.3,1548.79
20,7.9896,8258.52,101.068,85.2045,4.59824,3815.9,6505.48,38.2593,2352.13
21,6835.17,211.983,14.0582,9.73137,663.519,260.383,83.9539,401.643,1060.05
22,13243.3,1.7053,272.363,5700.89,669.094,322.239,856.83,1296.69,2795.39
23,98.5687,245.172,43.2008,1113.62,1201.6,1403.45,11188.7,12683.2,3497.19
24,354.621,4.26728,5.56618,57.0236,1000.99,0.690396,5305.21,203.481,866.482
25,1288.45,52.39,9.80384,511.199,1848.04,147.847,42.3534,2033.81,741.738
26,585.091,19.3227,39.7669,16.5628,5701.16,80.8029,894.044,1648.13,1123.11
27,327.284,20.3294,131.353,733.9,5588.88,317.653,3361.54,39219.3,6212.53
28,988.15,54.9376,202.037,175.107,2154.28,127.051,3133.33,496.496,916.424
29,918.527,9.59206,345.907,22.3875,223.745,124.202,1247.64,2449.65,667.706
30,1656.2,55.5269,73.0886,101.513,1767.02,273.958,1208.33,14.0237,643.708
31,1031.98,86.1357,41.6159,69.5458,9799.32,151.385,4263.03,27024.7,5308.47
32,209.645,100.114,79.9586,1.8305,41.8346,1791.28,2942.18,255.665,677.814
33,118.755,175.689,217.309,722.246,119.095,444.878,1074.08,2438.23,663.785
34,299.978,31.3828,14.4874,819.627,1276.13,14.6022,185.438,32881.8,4440.44
35,32.3643,91.9123,966.228,96.3273,6642.14,1487.56,1679.85,567.744,1445.52
36,6045.12,212.182,491.511,2238.32,790.42,192.257,6.94546,272.202,1281.12
37,8584.99,62.618,260.552,61.943,1858.67,177.731,1907.29,904.141,1727.24
38,473.036,222.448,365.644,904.422,73.9448,302.298,786.361,840.581,496.092
39,64.9122,1291.77,494.182,13.3783,1312.66,5.34466,961.845,188.643,541.592
40,5185.35,20.707,17.4264,1638.76,117.686,163.19,391.463,50.2796,948.108
41,126.537,151.231,237.688,142.931,826.071,69.3853,1284.57,51.2809,361.212
42,7.31871,2363.31,639.927,859.955,178.889,238.539,120.165,259.029,583.391
43,779.422,113.133,866.357,6.95912,122.243,28.6406,1024.36,49.6503,373.846
44,12719.9,295.323,94.4511,991.451,163.82,68.4523,169.111,367.481,1858.75
45,333.202,137.138,260.661,0.18193,315.932,29.7185,1.41787,1061.05,267.412
46,1003.75,644.756,2536.64,122.157,167.699,189.942,469.612,2109.2,905.47
47,289.871,276.814,580.388,73.5713,16.1304,138.653,6.05819,4566.91,743.55
48,917.687,67.8555,5.31029,8211.43,1600.35,240.328,608.675,326.511,1497.27
49,121.022,1340.26,211.839,67.3667,1384.72,605.513,87.0961,50.5731,483.549
50,11094.2,11.724,705.909,17.4409,553.647,53.3262,117.86,634.76,1648.61
51,1584.63,183.219,4.93626,1282.37,308.574,448.373,76.7053,58.9088,493.464
52,1357.19,1.72398,127.193,215.032,114.193,1.81731,16.2869,795.555,328.624
53,161.748,2168.53,1222.41,185.96,39.2022,26.7492,203.535,915.846,615.498
54,15007.1,448.498,2012.09,4.18528,108.748,266.058,299.837,3.34315,2268.74
55,23420.7,292.095,878.131,162.873,1961.03,187.392,132.379,119.74,3394.3
56,2456.35,14.0177,10.0533,32.0609,868.783,119.487,45.4175,89.4381,454.45
57,14720.4,4980.11,106.608,125.635,1078.89,116.866,262.24,14.4945,2675.66
58,39133.4,716.401,75.7342,33.9231,166.504,1.69586,1.05439,88.0957,5027.1
59,42873.5,31.0381,3.1966,266.879,7815.43,45.304,132.937,87.0093,6406.91
60,40036,1576.3,2.86863,85.367,4.34717,227.947,494.712,561.984,5373.69
61,58.8675,20992.3,0.0488948,180.195,686.748,565.17,2.4666,19.6564,2813.18
62,36529.4,723.005,21.274,65.9743,1457.72,2239.22,203.605,81.7988,5165.26
63,10726.4,2049.53,0.747097,251.53,118.614,90.0731,0.431552,230.472,1683.48
64,917.873,2537.79,5.39577,63.9041,111.401,252.263,28.4079,599.102,564.517
65,10420.7,1709.28,13.5078,223.522,270.666,7.34931,0.533606,102.718,1593.54
66,1209.36,137.97,0.443597,201.48,1222.88,865.127,38.6878,130.15,475.763
67,350.892,1067.98,2.85507,1.22129,2539.57,47.3729,3.20995,3.36583,502.058
68,704.601,54.2992,0.109895,123.788,1017,105.331,14.815,0.0391734,252.498
69,110.634,633.317,2.67922,22.048,2009.13,919.414,1.50409,303.699,500.304
70,33.2293,569.195,68.8376,74.8497,250.504,338.143,1.30522,87.8864,177.994
71,288.229,132.14,2.36298,0.279034,1729.8,138.657,0.547312,1.74048,286.719
72,440.71,275.662,106.062,83.8043,274.038,23.2525,5.73929,17.4892,153.345
