Iteration,Wolf_ID,X,Y,Fitness,Role
1,1,-0.163425,1.74158,12049.9,omega
1,2,-2.74111,1.6244,49100.8,omega
1,3,-1.53184,0.438444,14560.1,omega
1,4,3.29166,-1.06438,31223.3,omega
1,5,3.08125,-2.70327,71034,omega
1,6,-0.691228,1.53119,895.359,omega
1,7,0.184809,4.2018,1719.7,omega
1,8,1.08537,3.84035,1171.6,omega
1,9,3.4361,2.45612,22004,omega
1,10,-0.299242,1.57192,215.372,omega
1,11,-3.46381,0.420288,39897,omega
1,12,-2.37674,2.3361,5535.67,omega
1,13,-3.78028,1.38619,9614.78,omega
1,14,1.54973,-1.97125,25193.7,omega
1,15,-1.22115,-0.210695,33717,omega
1,16,-0.508479,0.935762,948.415,omega
1,17,-1.02694,-0.120134,40.579,omega
1,18,-0.573189,-0.453618,377,omega
1,19,1.46627,3.19213,6341.53,omega
1,20,-0.910026,-0.173539,3738.78,omega
1,21,-0.617967,0.095084,3.59652,omega
1,22,-0.247311,3.54878,2007.38,omega
1,23,2.02294,3.09269,22570.9,omega
1,24,-5,2.9687,54781.8,omega
1,25,0.525947,2.93945,2787.76,omega
1,26,-2.96416,0.211697,34153.6,omega
1,27,-0.194768,-4.16524,11491.4,omega
1,28,-0.0190007,0.56137,6.07413,omega
1,29,-3.96448,1.83201,53701.3,omega
1,30,-1.77848,-0.0681263,246.768,omega
2,1,-1.62644,1.47609,295.433,omega
2,2,-1.85049,1.41081,3482.37,omega
2,3,1.18703,1.27815,370.496,omega
2,4,-2.50371,1.21729,14164.9,omega
2,5,1.26122,3.49825,14881.9,omega
2,6,-0.474929,-0.204441,113.824,omega
2,7,0.320595,3.71947,1737.6,omega
2,8,-2.11685,4.46496,708.803,omega
2,9,-4.03272,1.00236,8749.38,omega
2,10,-0.173356,0.483322,221.43,omega
2,11,2.65755,1.1631,13424.3,omega
2,12,-1.37057,-0.0902182,1108.85,omega
2,13,-0.0476381,1.13436,16675,omega
2,14,1.90162,2.91499,1912.53,omega
2,15,-1.44422,0.485897,294.577,omega
2,16,-1.01939,0.274157,48.137,omega
2,17,-0.0600891,-1.75268,142.109,omega
2,18,-0.37333,-0.53818,63.6529,omega
2,19,-1.60706,2.55234,108.831,omega
2,20,0.464623,0.287944,103.986,omega
2,21,-2.01644,0.695223,10.8432,omega
2,22,0.383095,0.197664,1217.91,omega
2,23,0.590573,2.13326,100.965,omega
2,24,-0.30225,0.269583,48573.8,omega
2,25,-1.15557,1.95259,709.293,omega
2,26,-0.637248,0.853474,7367.96,omega
2,27,-0.110584,-0.160535,1768.09,omega
2,28,0.00584903,1.11302,32.5114,omega
2,29,-0.426881,1.5656,19304.3,omega
2,30,0.760778,0.988533,1051.72,omega
3,1,2.76004,-0.746495,143.603,omega
3,2,0.51665,0.588706,413.538,omega
3,3,1.10815,0.889036,1.74837,omega
3,4,-0.370043,-0.211283,2563.8,omega
3,5,0.776035,3.02008,363.951,omega
3,6,0.44591,0.364769,20.6652,omega
3,7,-0.26369,2.01906,1308.5,omega
3,8,2.40346,0.788934,9.74067,omega
3,9,4.23243,0.240784,23313.4,omega
3,10,1.69,1.00358,21.9221,omega
3,11,0.612679,0.319495,3483.15,omega
3,12,1.26794,0.273339,393.186,omega
3,13,0.789988,-0.323173,129.261,omega
3,14,0.911908,-0.678184,49.9793,omega
3,15,2.33314,0.48097,261.93,omega
3,16,3.01015,0.0482612,62.6002,omega
3,17,1.59125,1.16422,309.581,omega
3,18,0.335883,2.48847,47.7942,omega
3,19,-1.38003,1.54727,6.88857,omega
3,20,0.84622,-0.284467,0.806033,omega
3,21,1.44325,1.57693,1145.33,omega
3,22,1.0314,-0.439824,0.639675,omega
3,23,1.05156,0.813169,318.607,omega
3,24,0.918096,0.217139,4.87237,omega
3,25,2.14498,-1.22548,42.7457,omega
3,26,1.14832,-0.172313,22.6963,omega
3,27,-0.336046,0.817717,4.21813,omega
3,28,0.334114,0.697512,124.862,omega
3,29,0.973894,0.757331,193.409,omega
3,30,1.12163,0.564384,16.8467,omega
4,1,-2.40606,0.187488,6999.32,omega
4,2,0.405519,0.880289,10.5878,omega
4,3,0.190586,-0.218896,11.5014,omega
4,4,-0.455916,0.477175,14.0023,omega
4,5,0.583412,1.48621,584.65,omega
4,6,0.522476,0.0695624,3.0604,omega
4,7,0.88503,1.85003,381.662,omega
4,8,1.31035,0.149653,2489.69,omega
4,9,-2.46819,0.279635,31242.9,omega
4,10,0.656856,-0.107104,343.66,omega
4,11,0.375551,0.327175,0.46228,omega
4,12,0.241858,0.33484,178.119,omega
4,13,1.32454,0.00468268,89.7732,omega
4,14,0.525828,0.88793,227.946,omega
4,15,0.928064,0.162848,2464.47,omega
4,16,-1.8885,0.541233,8127.03,omega
4,17,0.240223,0.146439,187.453,omega
4,18,0.0414217,-2.13071,564.813,omega
4,19,1.72676,1.54649,18.4245,omega
4,20,0.00843355,0.463872,100.135,omega
4,21,0.803238,0.604635,25.8051,omega
4,22,0.145511,-0.12848,226.086,omega
4,23,0.849731,-0.0382326,8.56472,omega
4,24,0.540597,0.103757,39.1645,omega
4,25,0.527797,0.566998,3396.03,omega
4,26,0.564131,-0.0144532,222.316,omega
4,27,0.806405,0.324532,51.4578,omega
4,28,0.429232,-0.0985048,34.7689,omega
4,29,0.412168,-0.299963,3.65404,omega
4,30,0.374795,0.19111,48.1337,omega
5,1,1.60158,0.351928,3149.44,omega
5,2,0.53777,0.240549,51.5967,omega
5,3,0.249377,0.818296,7.16885,omega
5,4,-0.405925,0.143924,9.3728,omega
5,5,0.769141,1.34004,131.469,omega
5,6,0.891952,0.327775,4.36593,omega
5,7,0.587624,0.715383,113.809,omega
5,8,0.617347,0.397678,245.763,omega
5,9,0.0246139,0.527061,3390.32,omega
5,10,0.576175,0.104506,29.1229,omega
5,11,1.09266,0.434036,3.85461,omega
5,12,0.627541,0.579286,8.21145,omega
5,13,1.29151,0.488755,306.263,omega
5,14,0.430895,0.637849,37.6101,omega
5,15,0.534459,0.217848,48.7891,omega
5,16,0.82996,0.0998106,923.527,omega
5,17,0.192824,0.331793,1.3646,omega
5,18,0.250093,2.012,455.641,omega
5,19,0.0240015,1.61205,206.51,omega
5,20,0.800323,0.19794,22.4943,omega
5,21,0.96243,0.230214,0.203205,omega
5,22,-0.215171,0.698763,2.96977,omega
5,23,0.541675,0.528056,57.8244,omega
5,24,0.742531,0.0785173,3.76383,omega
5,25,1.14245,0.313173,8.54208,omega
5,26,0.324946,0.536735,11.2587,omega
5,27,1.21834,0.404521,10.6493,omega
5,28,0.562323,0.0265128,8.32025,omega
5,29,0.311454,0.573732,22.421,omega
5,30,0.337464,0.435358,0.647303,omega
6,1,1.25615,0.404512,490.151,omega
6,2,0.624091,0.560388,0.45031,omega
6,3,1.08494,0.583983,57.7332,omega
6,4,-0.427951,0.5088,2.02011,omega
6,5,1.23518,0.548653,56.0733,omega
6,6,0.842869,0.213141,21.8957,omega
6,7,0.916022,-0.178193,13.866,omega
6,8,0.726545,0.488198,0.173848,omega
6,9,0.318167,0.465472,28.6669,omega
6,10,0.267107,0.1266,5.35398,omega
6,11,1.40166,0.567252,57.7495,omega
6,12,-0.0585859,0.514169,3.57895,omega
6,13,0.936817,0.442571,139.145,omega
6,14,0.840396,0.322553,20.7705,omega
6,15,0.745426,0.337795,0.676395,omega
6,16,0.648899,0.179178,34.7237,omega
6,17,0.504694,0.522772,9.33111,omega
6,18,0.609182,-0.704165,380.599,omega
6,19,-0.00998454,1.18397,260.637,omega
6,20,0.887987,0.523849,19.6273,omega
6,21,0.646078,0.0884954,48.4509,omega
6,22,0.557747,0.685215,44.0476,omega
6,23,0.519881,-0.0465054,5.71582,omega
6,24,0.514437,0.454092,22.4235,omega
6,25,0.878468,0.171316,98.43,omega
6,26,0.482129,0.482123,19.0443,omega
6,27,1.53554,0.768949,116.649,omega
